	FacilityID	UPS_QuestionnaireID	AvailableDate	DueDate	Accessed	SubmitDate	Comp_Dt	RespondentTitle	RespondentTitleSpecify	RespondentDegrees	FacilityLocation	FacilityUAffil	NbrReferPractices	NbrReferPracticesSpecify	PtntEdStaff1	PtntEdStaff2	PtntEdStaff3	Yr1stPDEver	Yr1stPDEverCurMgmt	FellowsTrainees	FellowsMnthsPerYr	FellowsFreqContact	InCenterHD	TransplantPtnts	HomeHdTraining	HomeHdCare	HomeTrainingStaff	NbrPDNurses	PDNurseCareModel	PctNursesPDandHD	NbrPDDoctors	PctNephrologists	PDNephCareModel	PDNephCareModelAddnl	AddnlStudies	AddnlStudiesRecruit	FridayClosed	FridayClosingTime	FridayOpenTime	MondayClosed	MondayClosingTime	MondayOpenTime	SaturdayClosed	SaturdayClosingTime	SaturdayOpenTime	SundayClosed	SundayClosingTime	SundayOpenTime	ThursdayClosed	ThursdayClosingTime	ThursdayOpenTime	TuesdayClosed	TuesdayClosingTime	TuesdayOpenTime	WednesdayClosed	WednesdayClosingTime	WednesdayOpenTime	NbrHolidayClosures	PhonePDNurseAfterHrs	MeetPDNurseAfterHrs	OncallNurseAffil	AfterHrsPeritonitis1	AfterHrsPeritonitis2	AfterHrsPeritonitis3	RegHrsPeritonitis1	RegHrsPeritonitis2	RegHrsPeritonitis3	DesignatedHospital	NursesPDHospital	NurseHospContact	FreqRoutineCare	DoctorNursePdClinic	DNursePdClinic	DietitianPdClinic	FootCarePdClinic	NephPdClinic	OtPdClinic	PharmacistPdClinic	PtPdClinic	SWorkerPdClinic	RoutineVisit	NephVisit	NurseVisit	MultidiscReview	BloodDrawn	LabType	RoutineLabTesting	BloodWorkResults	APNsTypDay	FullTimeNursesTypDay	LPNsTypDay	NPractitionersTypDay	NbrAPNs	NbrFullTimeNurses	NbrLPNs	NbrNPractitioners	NbrPartTimeNurses	NbrRNs	NbrSocialWorkers	PartTimeNursesTypDay	RNsTypDay	SocialWorkersTypDay	StaffingPatterns_Dt	TrainNurseAffil	TrainNurseSubset	NbrTrainNurseFullTm	NbrTrainNursePartTm	TranslateServices	TranslateServicesUsed	TrainingBeginTypical	AvgDurTraining	AvgDurTrainingSession	TrainingModel	TrainingCurriculum	APDTraining	TrainingAudit	PDNurseRetrain	PDNurseContEd	InitialTrainingLoc	NbrTrainersPerPtnt	NurseHomeVisits	PtntTrainingAssess1	PtntTrainingAssess2	PtntTrainingAssess3	TrainingByPtnt	PtntTrainingAssess4	country	LDOExtract
0	118000.0	42341.0	2016-05-11	2016-06-08	1.0	2016-06-08	2016-05-19	1.0		b'1'	1.0	1.0	1.0		1.0	0.0	1.0	1986.0	1987.0	3.0	5.0	2.0	1.0	1.0	3.0	3.0		5.0	2.0	5.0	2.0	5.0	2.0	2.0	1.0	1.0	0.0	15.0	7.0	0.0	15.0	7.0	1.0			1.0			0.0	15.0	7.0	0.0	15.0	7.0	0.0	15.0	7.0	5.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	3.0	2.0	1.0	5.0	1.0	1.0	1.0	5.0	1.0	5.0	1.0	5.0	5.0	3.0	2.0	2.0	1.0	1.0	1.0	0.0	2.0					0.0	2.0	0.0	0.0	0.0	0.0	0.0				2016-05-19	1.0	1.0	0.0	2.0	0.0		5.0	3.0	2.0	1.0	1.0	1.0	0.0	0.0	1.0	2.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	b'Thailand'	b'N/A'
1	118001.0	44505.0	2016-06-06	2016-07-04	1.0	2018-03-06	2016-06-19	3.0		b'1'	1.0	0.0	2.0		0.0	0.0	1.0	1995.0	1995.0	3.0	5.0	3.0	1.0	1.0	3.0	3.0		3.0	2.0	2.0	3.0	2.0	1.0	1.0	1.0	1.0	0.0	16.0	8.0	0.0	16.0	8.0	0.0	16.0	8.0	1.0			0.0	16.0	8.0	0.0	16.0	8.0	0.0	16.0	8.0	1.0	1.0	0.0	2.0	1.0	1.0	1.0	0.0	1.0	0.0	3.0	3.0	2.0	5.0	1.0	1.0	3.0	5.0	1.0	3.0	3.0	3.0	3.0	4.0	1.0	4.0	0.0	1.0	2.0	0.0	2.0	0.0	1.0	0.0	2.0	0.0	5.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	2016-06-19	1.0	1.0	0.0	4.0	0.0		3.0	2.0	2.0	3.0	1.0	1.0	0.0	0.0	1.0	3.0	1.0	3.0	1.0	0.0	0.0	4.0	0.0	b'Thailand'	b'N/A'
2	118002.0	95191.0	2017-05-15	2017-06-12	1.0	2017-06-06	2017-05-22	1.0		b'3'	1.0	1.0	3.0		0.0	0.0	1.0	1982.0	2004.0	3.0	4.0	2.0	1.0	1.0	1.0	1.0	1.0	3.0	2.0	2.0	3.0	3.0	2.0	2.0	1.0	1.0	0.0	18.0	7.0	0.0	18.0	7.0	1.0			1.0			0.0	18.0	7.0	0.0	18.0	7.0	0.0	18.0	7.0	5.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	3.0	2.0	1.0	3.0	1.0	1.0	1.0	3.0	1.0	5.0	1.0	5.0	4.0	4.0	3.0	3.0	1.0	1.0	2.0	0.0	2.0	0.0	1.0	1.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2017-05-22	1.0	2.0	0.0	3.0	0.0		3.0	2.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	3.0	1.0	0.0	1.0	1.0	1.0	b'Thailand'	b'N/A'
3	118003.0	44506.0	2016-06-06	2016-07-04	1.0	2018-02-20	2016-06-07	2.0		b'1'	1.0	0.0	3.0		0.0	0.0	1.0	2009.0	2009.0	1.0			1.0	3.0	3.0	3.0		2.0	2.0	1.0	1.0	5.0	1.0	1.0	1.0	1.0	0.0	16.0	8.0	0.0	16.0	8.0	1.0			1.0			0.0	16.0	8.0	0.0	16.0	8.0	0.0	16.0	8.0	5.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	3.0	2.0	1.0	4.0	1.0	1.0	3.0	5.0	1.0	5.0	3.0	5.0	3.0	4.0	4.0	4.0	1.0	1.0	2.0	0.0	2.0		1.0			0.0	3.0	0.0	0.0	0.0	0.0	0.0				2016-06-07	1.0	1.0	0.0	3.0	0.0		5.0	2.0	3.0	3.0	1.0	3.0	1.0	0.0	1.0	2.0	1.0	2.0	1.0	1.0	0.0	4.0	0.0	b'Thailand'	b'N/A'
4	118004.0	44507.0	2016-06-06	2016-07-04	1.0	2016-06-24	2016-06-24	1.0		b'1'	1.0	0.0	4.0		0.0	0.0	1.0	2008.0	2008.0	1.0			1.0	3.0	3.0	3.0		2.0	2.0	1.0	3.0	5.0	2.0	1.0	1.0	1.0	0.0	16.0	8.0	0.0	16.0	8.0	1.0			1.0	16.0	8.0	0.0	16.0	8.0	0.0	16.0	8.0	0.0	16.0	8.0	5.0	1.0	0.0	2.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	2.0	2.0	5.0	1.0	1.0	1.0	5.0	1.0	5.0	1.0	5.0	3.0	2.0	1.0	2.0	0.0	1.0	2.0	0.0	2.0																1.0	1.0	0.0	2.0	0.0		1.0	3.0	1.0	1.0	1.0	2.0	1.0	1.0	0.0	2.0	1.0	3.0	1.0	1.0	1.0	4.0	0.0	b'Thailand'	b'N/A'
5	118005.0	71165.0	2016-10-03	2016-10-31	1.0	2016-11-02	2016-10-31	1.0		b'1'	1.0	0.0	2.0		0.0	0.0	1.0	2008.0	2008.0	1.0			1.0	3.0	3.0	3.0		2.0	1.0	4.0	2.0	4.0	2.0	1.0	1.0	1.0	0.0	16.0	8.0	0.0	16.0	8.0	1.0	13.0		1.0			0.0	16.0	8.0	0.0	16.0	8.0	0.0	16.0	8.0	5.0	1.0	1.0	2.0	1.0	1.0	0.0	1.0	1.0	0.0	2.0	2.0	2.0	3.0	1.0	1.0	3.0	5.0	1.0	5.0	3.0	3.0	3.0	2.0	1.0	2.0	0.0	1.0	2.0	0.0	2.0	0.0	0.75	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.25	0.0	0.0	2016-10-31	1.0	1.0	0.0	2.0	0.0		1.0	1.0	3.0	3.0	0.0	2.0	0.0	0.0	0.0	2.0	1.0	3.0	1.0	0.0	1.0	4.0	0.0	b'Thailand'	b'N/A'
6	118006.0	79686.0	2016-12-05	2017-01-02	1.0	2018-04-17	2018-02-09	1.0		b'1'		0.0	2.0		0.0	0.0	1.0	2009.0	2009.0	1.0			1.0	3.0	3.0	3.0		2.0	2.0	3.0	2.0	2.0	2.0	2.0	0.0		0.0	16.0	8.0	0.0	16.0	8.0	1.0			1.0			0.0	16.0	8.0	0.0	16.0	8.0	0.0	16.0	8.0	5.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	3.0	2.0	2.0	3.0	1.0	1.0	3.0	5.0	1.0	5.0	3.0	5.0	3.0	2.0	1.0	2.0	0.0	1.0	2.0	0.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	0.0	3.0	3.0	0.0	3.0	1.0	2018-02-09	1.0	1.0	0.0	3.0	0.0		3.0	2.0	3.0	1.0	1.0	1.0	1.0	0.0	0.0	2.0	1.0	3.0	1.0	0.0	1.0	1.0	0.0	b'Thailand'	b'N/A'
7	118007.0	71166.0	2016-10-03	2016-10-31	1.0	2016-11-10	2016-11-07	2.0		b'1'	1.0	0.0	4.0		1.0	1.0	1.0	2007.0	2007.0	1.0			1.0	3.0	3.0	3.0		3.0	2.0	1.0	3.0	5.0	2.0	1.0	1.0	1.0	0.0	16.0	8.0	0.0	16.0	8.0							0.0	16.0	8.0	0.0	16.0	8.0	0.0	16.0	8.0	5.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	3.0	1.0		3.0	1.0	1.0	1.0	3.0	1.0	5.0	3.0	3.0	3.0	4.0	4.0	4.0	0.0	1.0	2.0	0.0	2.0		1.0	1.0		0.0	5.0	1.0	0.0	0.0	4.0	0.0		1.0		2016-11-08	1.0	1.0	0.0	4.0	0.0		2.0	2.0	1.0	3.0	1.0	2.0	1.0	0.0	1.0	2.0	1.0	2.0	1.0	0.0	0.0	1.0	0.0	b'Thailand'	b'N/A'
8	118008.0	79687.0	2016-12-05	2017-01-02	1.0	2018-05-01	2018-05-01	1.0		b'1'	1.0	0.0	3.0		0.0	0.0	1.0	2012.0	2012.0	1.0			1.0	3.0	3.0	3.0		2.0	2.0	3.0	2.0	5.0	2.0	1.0	0.0		0.0	16.0	8.0	0.0	16.0	8.0	1.0			1.0			0.0	16.0	8.0	0.0	16.0	8.0	0.0	16.0	8.0	5.0	1.0	0.0		0.0	1.0	1.0	0.0	1.0	1.0	3.0	2.0	1.0	3.0	1.0	1.0	3.0	3.0	1.0	5.0	3.0	3.0	3.0	2.0	1.0	2.0	1.0	1.0	2.0	1.0	2.0	0.0	1.0	0.0	1.0	0.0	2.0	0.0	2.0	0.0	2.0	0.0	0.0	1.0	0.0	2018-05-01	1.0	1.0	0.0	2.0	0.0		2.0	2.0	3.0	3.0	1.0	2.0	0.0	1.0	1.0	2.0	1.0	2.0	1.0	0.0	1.0	4.0	0.0	b'Thailand'	b'N/A'
9	118009.0	71167.0	2016-10-03	2016-10-31	1.0	2016-10-04	2016-10-05	1.0		b'1'	1.0	0.0			0.0	1.0	0.0	2000.0		1.0			1.0	1.0	3.0		1.0	2.0	2.0	3.0	2.0		2.0	1.0	1.0	1.0	0.0	16.0	8.0	0.0	16.0	8.0	1.0			1.0			0.0	16.0	8.0	0.0	16.0	8.0	0.0	16.0	8.0	5.0	1.0	0.0		0.0	0.0	1.0	0.0	1.0	0.0	3.0	3.0	1.0	3.0	1.0	1.0	3.0	5.0	2.0	5.0	3.0	5.0	5.0	3.0	1.0	2.0	0.0	1.0	2.0	0.0	2.0																1.0	1.0	3.0	0.0	0.0		1.0	4.0	1.0	3.0	1.0	3.0	0.0	0.0	0.0	2.0	2.0	2.0	1.0	0.0	1.0	2.0	0.0	b'Thailand'	b'N/A'
10	118010.0	71168.0	2016-10-03	2016-10-31	1.0	2016-11-02	2016-11-02	1.0		b'1'	1.0	0.0	2.0		0.0	0.0	1.0	2008.0	2008.0	1.0			1.0	3.0	3.0	3.0		4.0	2.0	5.0	2.0	2.0	2.0	1.0	1.0	0.0	0.0	18.0	7.0	0.0	18.0	7.0	0.0			0.0			0.0	18.0	7.0	0.0	18.0	7.0	0.0	18.0	7.0	5.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	3.0	2.0	1.0	5.0	1.0	1.0	3.0	5.0	1.0	5.0	2.0	5.0	1.0	4.0	4.0	4.0	0.0	1.0	2.0	1.0	2.0		4.0				9.0				9.0			4.0	1.0		1.0	1.0		5.0	0.0		3.0	2.0	4.0	3.0	1.0	2.0	1.0	0.0	1.0	2.0	1.0	3.0	1.0	1.0	1.0	4.0	0.0	b'Thailand'	b'N/A'
